Run,Algorithm,Map,Success,Path_Length,Completion_Time,Expanded_Nodes,Collected_Coins,Remaining_Blood
1,Breadth-First Search,Map 1,1,194.0,19.32042932510376,6,3,95
2,Breadth-First Search,Map 1,1,194.0,19.507269144058228,6,3,95
3,Breadth-First Search,Map 1,0,82.0,8.251069784164429,557,2,95
4,Breadth-First Search,Map 1,1,194.0,19.50899624824524,6,3,95
5,Breadth-First Search,Map 1,1,146.0,14.675755500793455,6,2,95
6,Breadth-First Search,Map 1,1,194.0,19.5100417137146,6,3,95
7,Breadth-First Search,Map 1,0,170.0,17.101802825927734,623,2,95
8,Breadth-First Search,Map 1,1,124.0,12.474438905715942,6,2,95
9,Breadth-First Search,Map 1,1,124.0,12.465887784957886,6,2,95
10,Breadth-First Search,Map 1,0,82.0,8.248355627059937,557,2,95
1,Breadth-First Search,Map 2,1,195.0,19.42934513092041,7,3,85
2,Breadth-First Search,Map 2,1,121.0,12.168896913528442,7,2,95
3,Breadth-First Search,Map 2,1,121.0,12.1644389629364,7,2,95
4,Breadth-First Search,Map 2,1,121.0,12.169084310531616,7,2,95
5,Breadth-First Search,Map 2,0,161.0,16.190863847732544,408,3,90
6,Breadth-First Search,Map 2,1,195.0,19.605574131011963,7,3,85
7,Breadth-First Search,Map 2,0,112.0,11.260071039199827,115,2,95
8,Breadth-First Search,Map 2,1,145.0,14.585403442382812,7,2,95
9,Breadth-First Search,Map 2,1,195.0,19.596811771392822,7,3,85
10,Breadth-First Search,Map 2,1,195.0,19.60308837890625,7,3,85
1,Breadth-First Search,Map 3,1,108.0,10.673293352127075,7,1,90
2,Breadth-First Search,Map 3,1,150.0,15.088952779769896,7,2,80
3,Breadth-First Search,Map 3,1,108.0,10.857571363449097,7,1,90
4,Breadth-First Search,Map 3,1,116.0,11.66598105430603,7,1,90
5,Breadth-First Search,Map 3,1,102.0,10.254326105117798,7,1,90
6,Breadth-First Search,Map 3,1,142.0,14.282713174819946,7,2,80
7,Breadth-First Search,Map 3,1,168.0,16.88669490814209,7,3,80
8,Breadth-First Search,Map 3,1,84.0,8.44611930847168,7,1,95
9,Breadth-First Search,Map 3,1,168.0,16.894033908843994,7,3,80
10,Breadth-First Search,Map 3,1,168.0,16.887824535369873,7,3,80
1,Breadth-First Search,Map 4,1,175.0,17.40503692626953,8,3,95
2,Breadth-First Search,Map 4,1,277.0,27.84297752380371,8,3,90
3,Breadth-First Search,Map 4,1,175.0,17.596896171569824,8,3,95
4,Breadth-First Search,Map 4,1,99.0,9.955679178237917,8,2,100
5,Breadth-First Search,Map 4,1,97.0,9.75803565979004,8,2,100
6,Breadth-First Search,Map 4,1,97.0,9.761669635772703,8,2,100
7,Breadth-First Search,Map 4,0,237.0,23.836925745010376,701,3,90
8,Breadth-First Search,Map 4,1,175.0,17.600999116897583,8,3,95
9,Breadth-First Search,Map 4,1,97.0,9.759149074554443,8,2,100
10,Breadth-First Search,Map 4,1,113.0,11.362082958221436,8,2,100
1,Breadth-First Search,Map 5,1,106.0,10.474915266036987,6,1,85
2,Breadth-First Search,Map 5,1,214.0,21.5269832611084,6,3,80
3,Breadth-First Search,Map 5,1,118.0,11.879318475723268,6,1,85
4,Breadth-First Search,Map 5,1,106.0,10.655987739562988,6,1,85
5,Breadth-First Search,Map 5,0,166.0,16.70392107963562,523,2,85
6,Breadth-First Search,Map 5,1,106.0,10.654928922653198,6,1,85
7,Breadth-First Search,Map 5,0,141.0,14.185262680053713,374,1,85
8,Breadth-First Search,Map 5,0,125.0,12.57052516937256,374,1,85
9,Breadth-First Search,Map 5,0,130.0,13.06998348236084,374,1,85
10,Breadth-First Search,Map 5,0,125.0,12.58221173286438,374,1,85
1,Breadth-First Search,Map 6,0,120.0,11.877888202667236,590,2,95
2,Breadth-First Search,Map 6,1,103.0,10.355526208877563,7,1,95
